id,booking_id,issue_date,expiry_date
1,1,07:39.0,07:39.0
2,2,34:37.0,34:37.0
3,3,31:49.0,31:49.0
4,4,26:46.0,26:46.0
5,5,57:56.0,57:56.0
6,6,05:58.0,05:58.0
7,7,10:38.0,10:38.0
8,8,29:39.0,29:39.0
9,9,54:48.0,54:48.0
10,10,43:33.0,43:33.0
11,11,21:00.0,21:00.0
12,12,42:00.0,42:00.0
13,13,21:24.0,21:24.0
14,14,58:44.0,58:44.0
15,15,44:40.0,44:40.0
16,16,52:21.0,52:21.0
17,17,13:03.0,13:03.0
18,18,38:48.0,38:48.0
19,19,57:18.0,57:18.0
20,20,49:08.0,49:08.0
21,21,47:12.0,47:12.0
22,22,40:10.0,40:10.0
23,23,12:36.0,12:36.0
24,24,46:00.0,46:00.0
25,25,21:51.0,21:51.0
26,26,29:35.0,29:35.0
27,27,05:36.0,05:36.0
28,28,50:03.0,50:03.0
29,29,22:26.0,22:26.0
30,30,15:24.0,15:24.0
31,31,15:07.0,15:07.0
32,32,05:44.0,05:44.0
33,33,48:58.0,48:58.0
34,34,09:40.0,09:40.0
35,35,00:42.0,00:42.0
36,36,45:08.0,45:08.0
37,37,49:37.0,49:37.0
38,38,02:10.0,02:10.0
39,39,16:33.0,16:33.0
40,40,31:51.0,31:51.0
41,41,52:37.0,52:37.0
42,42,31:30.0,31:30.0
43,43,01:37.0,01:37.0
44,44,50:03.0,50:03.0
45,45,14:31.0,14:31.0
46,46,06:33.0,06:33.0
47,47,51:02.0,51:02.0
48,48,07:54.0,07:54.0
49,49,33:26.0,33:26.0
50,50,14:56.0,14:56.0
