id,trip_id,day_number,activities
1,1,1,"Arrival in destination, hotel check-in, welcome briefing and orientation."
2,2,1,"Airport pickup, transfer to hotel, evening at leisure."
3,3,1,"Meet guide, city overview tour, welcome dinner at local restaurant."
4,4,1,"Check-in, safety briefing, short introductory walk around town."
5,5,1,"Arrival and settling in, explore hotel surroundings and amenities."
6,6,1,"Hotel check-in, orientation session, light city stroll."
7,7,1,"Transfer from airport, evening cultural performance."
8,8,1,"Welcome meeting, local market visit, dinner sampling street food."
9,9,1,"Arrival, room assignment, optional spa relaxation."
10,10,1,"Check-in, safety & itinerary briefing, sunset viewing spot."
11,11,1,"Meet at hotel lobby, short walking tour, welcome snacks."
12,12,1,"Arrival, luggage drop, free afternoon to explore."
13,13,1,"Hotel check-in, orientation talk, local dance show."
14,14,1,"Welcome drinks, city highlights brief, rest at leisure."
15,15,1,"Transfer, check-in, walking orientation around historic district."
16,16,1,"Arrival, transfer, meet-and-greet with guide, dinner included."
17,17,1,"Hotel check-in, safety briefing, evening welcome party."
18,18,1,"Arrival, check-in, panoramic city viewpoint visit."
19,19,1,"Meet host, check-in, sample regional cuisine."
20,20,1,"Arrival, orientation packet distribution, welcome meet."
21,21,1,"Check-in, leisure time, optional local market tour."
22,22,1,"Arrival, hotel welcome, short riverbank walk."
23,23,1,"Hotel check-in, briefing, optional museum evening visit."
24,24,1,"Transfer, room assignment, evening cultural show."
25,25,1,"Arrival, orientation, free time to explore beachfront."
26,26,1,"Welcome meeting, hotel check-in, group icebreaker."
27,27,1,"Check-in, guided neighborhood stroll, welcome drinks."
28,28,1,"Arrival, lounge rest, introductory city overview."
29,29,1,"Hotel transfer, check-in, short dockside walk."
30,30,1,"Arrival, safety briefing, sunset boat cruise."
31,31,1,"Arrival, room orientation, brief historical talk."
32,32,1,"Hotel check-in, city overview bus tour, dinner."
33,33,1,"Meet guide, check-in, local tasting session."
34,34,1,"Arrival, orientation, evening at leisure near hotel."
35,35,1,"Hotel check-in, safety briefing, desert sunset experience."
36,36,1,"Arrival, transfer, welcome dinner under the stars."
37,37,1,"Check-in, orientation, optional hot-spring visit."
38,38,1,"Arrival, hotel welcome, panoramic tram ride."
39,39,1,"Transfer, check-in, welcome show at hotel."
40,40,1,"Arrival, meet guide, optional local festival visit."
41,41,1,"Hotel check-in, orientation, evening cultural performance."
42,42,1,"Arrival, room allocation, free time in town square."
43,43,1,"Transfer, check-in, introductory museum tour."
44,44,1,"Check-in, safety talk, short art-gallery visit."
45,45,1,"Welcome meeting, hotel check-in, local cuisine sampling."
46,46,1,"Arrival, room orientation, evening at leisure."
47,47,1,"Hotel check-in, orientation, short historical walk."
48,48,1,"Arrival, welcome briefing, optional city lights tour."
49,49,1,"Check-in, group introduction, local live music evening."
50,50,1,"Arrival, orientation, welcome dinner with traditional music."
