id,name,description
1,Hotel Accommodation,Lodging services including budget and luxury hotel stays
2,Airport Shuttle,Transport service between airport and accommodation
3,City Tour Guide,Certified guides for city sightseeing tours
4,Adventure Guide,"Guides for hiking, trekking, rafting etc."
5,Boat Rentals,Small boats or yachts available for private booking
6,Private Driver,Chauffeured vehicle service for trips
7,Local Transport,Public transport pass or ride booking
8,Food & Dining,Pre-paid meals or restaurant vouchers
9,Spa & Wellness,"Access to spas, massages, and wellness centers"
10,Cultural Experience,"Cooking classes, traditional events, or village tours"
11,Baggage Services,Luggage transport or storage
12,Bike Rentals,Cycle rentals for city/local tours
13,Photography,Professional trip photography service
14,Translator,Language assistance during trip
15,Medical Support,On-call medical assistant or clinic access
16,Airport Lounge Access,Passes to premium lounges
17,SIM Card/Internet,Local SIMs or portable Wi-Fi devices
18,Travel Insurance,Short-term trip insurance plans
19,Personal Concierge,24/7 dedicated assistance for the traveler
20,Resort Activities,"Jet skiing, scuba diving, or resort-based fun"
21,Cab Booking,Taxi bookings for intercity or local use
22,Pet Accommodation,Pet lodging and services while traveling
23,Room Service,On-demand meals and cleaning in hotel rooms
24,Event Tickets,"Pre-booked access to concerts, shows, or sports"
25,Visa Assistance,Help with visa application and documentation
26,Childcare,Babysitting or nanny services during trip
27,Laundry Services,Washing and ironing of clothes
28,Fitness Center Access,Gym or training facility passes
29,Camping Equipment Rental,"Tent, sleeping bag and related gear"
30,Souvenir Shops,Discounts or vouchers for souvenir stores
31,Airport Pickup,Scheduled pickup service from airports
32,Train Pass,Rail passes for inter-city travel
33,Luxury Vehicle Rental,High-end car services for local use
34,Boat Cruise,Short cruises or ferry services
35,Local Sim Activation,Assistance with SIM and mobile setup
36,Desert Safari,4x4 rides and camel tours in deserts
37,Snorkeling Equipment,"Rental of mask, fins and snorkel"
38,Ski Pass,Access to ski slopes and gear rental
39,Ziplining,Adventure ropeway access
40,Paragliding,Service for safe tandem flights
41,Travel Accessories,On-the-go gear like neck pillows or luggage locks
42,Hiking Guide,Person with expertise in trails and survival
43,Trekking Permit Help,Assistance with route and trail permissions
44,Eco Lodge,Environmentally conscious lodging
45,Helicopter Ride,Aerial sightseeing or mountain transport
46,Emergency Helpline,24/7 trip issue response team
47,Welcome Package,Gifts and local snacks on arrival
48,Drone Photography,Drone-based media coverage of trip
49,Festival Entry,Priority entry to local cultural or national festivals
50,Volunteer Opportunities,Organized short-term social work options
51,Gastronomy Tour,Local food exploration with chefs or foodies
